unit,cycle,setting_1,setting_2,setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
1,26,0.0015,0.0001,100.0,518.67,642.77,1587.06,1413.18,14.62,21.61,553.45,2388.12,9040.72,1.3,47.63,521.18,2388.1,8123.64,8.4228,0.03,392,2388,100.0,38.78,23.3819
1,27,0.0014,-0.0003,100.0,518.67,642.17,1592.11,1407.79,14.62,21.61,552.98,2388.07,9038.96,1.3,47.53,521.3,2388.12,8128.39,8.4157,0.03,391,2388,100.0,38.82,23.3978
1,28,0.002,-0.0002,100.0,518.67,642.35,1584.84,1397.29,14.62,21.61,553.48,2388.18,9041.77,1.3,47.61,521.65,2388.08,8124.69,8.4372,0.03,392,2388,100.0,38.88,23.1277
1,29,0.0034,-0.0001,100.0,518.67,642.59,1590.74,1406.64,14.62,21.61,553.92,2388.11,9039.13,1.3,47.59,521.09,2388.12,8123.42,8.4293,0.03,393,2388,100.0,38.8,23.2654
1,30,-0.0012,-0.0004,100.0,518.67,642.63,1583.14,1411.84,14.62,21.61,553.23,2388.12,9039.84,1.3,47.58,521.78,2388.05,8126.21,8.4295,0.03,393,2388,100.0,38.77,23.2201
1,31,-0.0029,-0.0004,100.0,518.67,642.3,1591.26,1407.52,14.62,21.61,553.79,2388.16,9044.89,1.3,47.35,521.7,2388.13,8123.07,8.4379,0.03,393,2388,100.0,38.81,23.423
1,32,0.0039,0.0003,100.0,518.67,642.15,1587.88,1401.43,14.62,21.61,553.88,2388.1,9038.12,1.3,47.53,522.01,2388.11,8125.22,8.4262,0.03,393,2388,100.0,38.8,23.3371
1,33,-0.0035,-0.0003,100.0,518.67,643.56,1584.16,1407.02,14.62,21.61,553.33,2388.15,9036.62,1.3,47.64,521.89,2388.13,8119.37,8.4748,0.03,393,2388,100.0,38.82,23.3012
1,34,-0.0009,-0.0004,100.0,518.67,642.72,1581.05,1407.98,14.62,21.61,553.86,2388.13,9043.82,1.3,47.3,521.21,2388.09,8119.62,8.4403,0.03,393,2388,100.0,38.73,23.2991
1,35,-0.0018,-0.0002,100.0,518.67,642.8,1589.21,1410.17,14.62,21.61,553.33,2388.17,9035.16,1.3,47.6,521.21,2388.17,8124.08,8.4722,0.03,393,2388,100.0,38.95,23.4075
1,36,0.0009,0.0003,100.0,518.67,642.78,1584.84,1400.8,14.62,21.61,553.59,2388.1,9039.41,1.3,47.33,521.82,2388.09,8132.28,8.4394,0.03,392,2388,100.0,38.83,23.3172
1,37,-0.0044,0.0005,100.0,518.67,642.34,1585.03,1403.17,14.62,21.61,553.16,2388.15,9042.75,1.3,47.65,521.6,2388.16,8125.1,8.4529,0.03,393,2388,100.0,38.99,23.2527
1,38,0.0004,-0.0002,100.0,518.67,642.28,1596.72,1409.44,14.62,21.61,553.33,2388.12,9049.16,1.3,47.49,521.24,2388.1,8116.46,8.4539,0.03,393,2388,100.0,38.92,23.2762
1,39,0.0021,-0.0002,100.0,518.67,642.45,1582.07,1409.18,14.62,21.61,553.2,2388.13,9046.2,1.3,47.61,521.41,2388.09,8126.37,8.41,0.03,392,2388,100.0,38.94,23.3649
1,40,0.0029,0.0002,100.0,518.67,642.25,1589.37,1410.22,14.62,21.61,553.89,2388.1,9041.31,1.3,47.4,521.4,2388.09,8119.16,8.4513,0.03,391,2388,100.0,38.82,23.3568
1,41,-0.0016,0.0002,100.0,518.67,642.57,1592.39,1403.99,14.62,21.61,553.63,2388.11,9038.03,1.3,47.28,521.45,2388.09,8124.85,8.4381,0.03,394,2388,100.0,38.85,23.2669
1,42,0.0042,-0.0004,100.0,518.67,642.94,1584.79,1414.39,14.62,21.61,553.38,2388.06,9044.8,1.3,47.53,521.46,2388.18,8124.02,8.423,0.03,391,2388,100.0,38.87,23.3673
1,43,0.0034,-0.0003,100.0,518.67,642.64,1587.86,1405.83,14.62,21.61,553.4,2388.1,9042.83,1.3,47.29,521.79,2388.08,8124.66,8.4382,0.03,393,2388,100.0,38.9,23.2366
1,44,-0.0016,0.0003,100.0,518.67,642.22,1587.42,1409.37,14.62,21.61,553.45,2388.13,9045.15,1.3,47.48,521.41,2388.13,8121.35,8.4408,0.03,393,2388,100.0,38.94,23.2311
1,45,0.0019,-0.0004,100.0,518.67,643.24,1590.34,1411.64,14.62,21.61,553.39,2388.18,9031.6,1.3,47.45,521.28,2388.11,8122.48,8.4382,0.03,394,2388,100.0,38.89,23.2792
1,46,-0.0026,-0.0004,100.0,518.67,642.57,1589.01,1412.73,14.62,21.61,553.32,2388.08,9037.74,1.3,47.51,521.51,2388.14,8123.2,8.4126,0.03,394,2388,100.0,38.96,23.3517
1,47,0.0015,-0.0004,100.0,518.67,642.64,1590.84,1401.78,14.62,21.61,553.46,2388.1,9042.44,1.3,47.42,521.67,2388.11,8128.95,8.451,0.03,392,2388,100.0,39.04,23.3021
1,48,-0.0,0.0001,100.0,518.67,642.8,1596.05,1406.51,14.62,21.61,553.02,2388.18,9045.22,1.3,47.45,521.57,2388.16,8127.55,8.4119,0.03,394,2388,100.0,38.92,23.1685
1,49,-0.0016,-0.0001,100.0,518.67,642.84,1588.06,1411.84,14.62,21.61,553.66,2388.15,9042.7,1.3,47.62,521.57,2388.17,8123.65,8.4271,0.03,391,2388,100.0,38.59,23.322
1,50,-0.0027,-0.0003,100.0,518.67,643.14,1593.13,1405.83,14.62,21.61,554.14,2388.16,9044.25,1.3,47.59,520.87,2388.09,8128.81,8.4198,0.03,392,2388,100.0,38.81,23.4356
1,51,-0.0002,0.0005,100.0,518.67,641.74,1589.57,1404.06,14.62,21.61,554.11,2388.08,9043.66,1.3,47.39,521.45,2388.13,8130.81,8.4337,0.03,391,2388,100.0,38.93,23.2859
1,52,0.002,0.0002,100.0,518.67,642.51,1584.8,1411.91,14.62,21.61,552.8,2388.08,9044.26,1.3,47.42,521.84,2388.08,8124.71,8.4679,0.03,394,2388,100.0,38.77,23.3463
1,53,0.0023,-0.0005,100.0,518.67,642.93,1589.47,1406.78,14.62,21.61,553.54,2388.15,9043.86,1.3,47.33,521.86,2388.12,8121.09,8.4564,0.03,393,2388,100.0,38.99,23.3139
1,54,-0.0016,0.0004,100.0,518.67,642.63,1590.89,1404.73,14.62,21.61,552.92,2388.09,9046.91,1.3,47.38,521.38,2388.13,8128.95,8.4177,0.03,394,2388,100.0,38.92,23.3561
1,55,0.0017,-0.0001,100.0,518.67,642.84,1584.55,1405.04,14.62,21.61,553.25,2388.1,9043.96,1.3,47.54,521.73,2388.13,8123.88,8.4224,0.03,394,2388,100.0,38.81,23.3056
1,56,-0.0,0.0001,100.0,518.67,642.09,1583.81,1407.43,14.62,21.61,553.76,2388.14,9048.97,1.3,47.71,521.27,2388.11,8125.43,8.4465,0.03,393,2388,100.0,38.75,23.2049
1,57,0.0008,-0.0004,100.0,518.67,643.62,1586.86,1406.19,14.62,21.61,553.08,2388.09,9040.15,1.3,47.55,521.46,2388.09,8122.52,8.4143,0.03,394,2388,100.0,38.63,23.3495
1,58,0.0027,0.0002,100.0,518.67,642.95,1589.77,1412.33,14.62,21.61,553.45,2388.12,9035.93,1.3,47.65,521.66,2388.11,8122.36,8.4254,0.03,392,2388,100.0,38.87,23.271
1,59,0.0,0.0001,100.0,518.67,642.88,1589.48,1403.14,14.62,21.61,553.61,2388.09,9045.72,1.3,47.52,521.58,2388.14,8126.6,8.4422,0.03,393,2388,100.0,38.87,23.3527
1,60,-0.0005,0.0001,100.0,518.67,642.64,1591.51,1405.18,14.62,21.61,552.74,2388.17,9040.49,1.3,47.52,521.37,2388.16,8121.31,8.4422,0.03,393,2388,100.0,38.98,23.2576
1,61,0.0003,0.0001,100.0,518.67,642.56,1592.36,1404.84,14.62,21.61,553.65,2388.13,9046.24,1.3,47.48,521.56,2388.17,8128.3,8.4237,0.03,395,2388,100.0,38.9,23.3079
1,62,0.0035,-0.0004,100.0,518.67,642.43,1591.02,1406.55,14.62,21.61,553.25,2388.1,9047.96,1.3,47.34,521.5,2388.12,8126.27,8.4301,0.03,393,2388,100.0,38.97,23.2842
1,63,0.0006,-0.0003,100.0,518.67,642.97,1589.63,1411.67,14.62,21.61,553.48,2388.11,9037.88,1.3,47.56,521.52,2388.12,8126.51,8.4105,0.03,392,2388,100.0,38.69,23.3091
1,64,0.0001,0.0004,100.0,518.67,641.89,1592.55,1406.38,14.62,21.61,553.3,2388.09,9039.46,1.3,47.52,521.23,2388.17,8120.18,8.4429,0.03,393,2388,100.0,38.89,23.2092
1,65,-0.0018,0.0001,100.0,518.67,642.61,1588.7,1408.8,14.62,21.61,553.93,2388.17,9038.63,1.3,47.5,521.39,2388.1,8119.85,8.4237,0.03,394,2388,100.0,38.71,23.3828
1,66,0.0042,0.0002,100.0,518.67,642.69,1580.75,1405.16,14.62,21.61,553.15,2388.09,9040.76,1.3,47.41,521.1,2388.12,8121.37,8.4446,0.03,392,2388,100.0,38.88,23.2864
1,67,-0.001,0.0001,100.0,518.67,642.19,1590.26,1410.26,14.62,21.61,553.68,2388.09,9052.27,1.3,47.57,521.7,2388.13,8121.27,8.4434,0.03,393,2388,100.0,38.74,23.2483
1,68,-0.0006,-0.0005,100.0,518.67,642.42,1584.49,1404.86,14.62,21.61,552.88,2388.15,9034.25,1.3,47.34,521.5,2388.13,8121.54,8.4351,0.03,394,2388,100.0,38.97,23.3143
1,69,-0.0018,0.0003,100.0,518.67,642.27,1584.54,1413.84,14.62,21.61,552.99,2388.1,9045.74,1.3,47.44,521.36,2388.12,8123.6,8.4561,0.03,394,2388,100.0,38.83,23.3503
1,70,-0.0022,-0.0001,100.0,518.67,642.8,1586.38,1412.29,14.62,21.61,553.53,2388.15,9038.69,1.3,47.65,521.64,2388.11,8122.05,8.4142,0.03,393,2388,100.0,38.78,23.366
1,71,-0.0007,0.0003,100.0,518.67,642.53,1590.43,1412.69,14.62,21.61,553.36,2388.14,9046.75,1.3,47.46,521.3,2388.15,8123.53,8.4389,0.03,393,2388,100.0,38.67,23.3855
1,72,0.0032,-0.0004,100.0,518.67,642.66,1590.96,1409.0,14.62,21.61,553.24,2388.1,9041.05,1.3,47.5,521.6,2388.1,8123.03,8.4322,0.03,392,2388,100.0,38.7,23.3698
1,73,-0.0024,0.0001,100.0,518.67,642.32,1589.74,1406.64,14.62,21.61,552.74,2388.09,9042.59,1.3,47.46,521.01,2388.18,8124.98,8.4338,0.03,394,2388,100.0,38.75,23.3273
1,74,-0.0001,-0.0003,100.0,518.67,642.42,1585.33,1408.22,14.62,21.61,553.15,2388.19,9036.54,1.3,47.49,520.94,2388.13,8128.31,8.4323,0.03,394,2388,100.0,38.79,23.2432
1,75,-0.0013,0.0001,100.0,518.67,642.79,1585.79,1412.86,14.62,21.61,553.23,2388.18,9047.2,1.3,47.68,521.3,2388.12,8125.59,8.421,0.03,392,2388,100.0,38.9,23.2128
1,76,-0.0036,0.0002,100.0,518.67,642.34,1586.11,1400.53,14.62,21.61,552.81,2388.02,9038.33,1.3,47.51,521.13,2388.07,8121.62,8.4547,0.03,393,2388,100.0,38.62,23.3871
1,77,-0.0019,-0.0003,100.0,518.67,642.43,1584.37,1407.64,14.62,21.61,553.48,2388.15,9046.21,1.3,47.53,521.31,2388.17,8121.28,8.4197,0.03,392,2388,100.0,38.71,23.2559
1,78,-0.0012,0.0002,100.0,518.67,642.77,1592.17,1408.42,14.62,21.61,553.75,2388.16,9040.38,1.3,47.47,521.23,2388.16,8123.8,8.4222,0.03,393,2388,100.0,38.67,23.3661
1,79,0.0033,0.0001,100.0,518.67,642.86,1589.43,1413.05,14.62,21.61,553.43,2388.16,9041.24,1.3,47.68,521.12,2388.17,8118.71,8.4156,0.03,393,2388,100.0,38.82,23.2648
1,80,0.0014,-0.0002,100.0,518.67,642.17,1589.59,1416.17,14.62,21.61,553.15,2388.14,9041.27,1.3,47.48,521.39,2388.12,8128.26,8.4436,0.03,393,2388,100.0,38.87,23.1758
1,81,-0.0022,0.0004,100.0,518.67,642.67,1594.76,1410.5,14.62,21.61,552.91,2388.09,9040.81,1.3,47.57,521.47,2388.14,8123.29,8.452,0.03,393,2388,100.0,38.7,23.3248
1,82,0.0023,-0.0005,100.0,518.67,642.18,1590.35,1403.41,14.62,21.61,553.52,2388.19,9041.11,1.3,47.54,520.89,2388.12,8129.97,8.4601,0.03,395,2388,100.0,38.88,23.3414
1,83,0.0014,-0.0002,100.0,518.67,642.31,1586.66,1406.53,14.62,21.61,553.67,2388.1,9038.74,1.3,47.51,521.6,2388.2,8124.55,8.4638,0.03,392,2388,100.0,38.63,23.1919
1,84,0.0009,0.0004,100.0,518.67,642.37,1588.05,1410.47,14.62,21.61,553.27,2388.06,9044.62,1.3,47.64,521.87,2388.08,8126.35,8.4238,0.03,394,2388,100.0,38.7,23.2985
1,85,0.0029,-0.0002,100.0,518.67,642.8,1589.92,1405.6,14.62,21.61,554.18,2388.13,9039.61,1.3,47.59,521.15,2388.12,8122.93,8.4012,0.03,393,2388,100.0,38.85,23.273
1,86,0.0006,0.0001,100.0,518.67,642.3,1586.28,1405.75,14.62,21.61,552.86,2388.12,9041.83,1.3,47.42,520.81,2388.14,8124.41,8.4547,0.03,394,2388,100.0,38.74,23.2403
1,87,-0.0002,-0.0004,100.0,518.67,643.04,1589.24,1404.69,14.62,21.61,553.25,2388.13,9043.65,1.3,47.57,521.38,2388.16,8124.93,8.4483,0.03,394,2388,100.0,38.7,23.2118
1,88,0.0025,-0.0001,100.0,518.67,642.6,1587.95,1400.77,14.62,21.61,553.43,2388.08,9041.82,1.3,47.53,521.34,2388.19,8129.82,8.4308,0.03,394,2388,100.0,38.97,23.2563
1,89,-0.0004,0.0001,100.0,518.67,642.55,1586.85,1415.46,14.62,21.61,552.81,2388.14,9043.87,1.3,47.47,521.81,2388.12,8125.3,8.445,0.03,392,2388,100.0,38.88,23.2571
1,90,0.0004,-0.0001,100.0,518.67,642.78,1597.82,1410.6,14.62,21.61,552.68,2388.13,9045.69,1.3,47.71,521.63,2388.19,8126.38,8.4232,0.03,394,2388,100.0,38.78,23.4447
1,91,-0.0027,0.0003,100.0,518.67,642.6,1587.56,1406.55,14.62,21.61,553.25,2388.17,9045.05,1.3,47.49,521.19,2388.11,8125.33,8.4217,0.03,391,2388,100.0,38.89,23.3508
1,92,0.0009,0.0001,100.0,518.67,642.67,1593.15,1405.18,14.62,21.61,552.64,2388.17,9043.86,1.3,47.57,521.05,2388.16,8127.5,8.4333,0.03,394,2388,100.0,38.81,23.2722
1,93,0.0006,-0.0002,100.0,518.67,642.93,1588.07,1409.25,14.62,21.61,553.21,2388.19,9041.95,1.3,47.65,521.52,2388.11,8123.4,8.4625,0.03,393,2388,100.0,38.93,23.3146
1,94,-0.0007,-0.0,100.0,518.67,642.36,1583.38,1406.55,14.62,21.61,553.1,2388.18,9045.04,1.3,47.55,521.11,2388.06,8118.78,8.4348,0.03,391,2388,100.0,38.79,23.2974
1,95,-0.0004,0.0004,100.0,518.67,642.82,1594.89,1406.75,14.62,21.61,553.19,2388.15,9042.88,1.3,47.69,520.52,2388.14,8121.22,8.4544,0.03,394,2388,100.0,38.82,23.2875
1,96,-0.0011,-0.0001,100.0,518.67,642.97,1589.62,1412.44,14.62,21.61,552.77,2388.12,9042.33,1.3,47.53,521.69,2388.17,8120.2,8.4631,0.03,391,2388,100.0,38.89,23.2619
1,97,0.0009,0.0002,100.0,518.67,642.81,1599.69,1412.12,14.62,21.61,552.64,2388.08,9034.6,1.3,47.39,521.15,2388.08,8124.18,8.436,0.03,393,2388,100.0,38.87,23.268
1,98,-0.0015,0.0004,100.0,518.67,642.69,1599.68,1407.77,14.62,21.61,552.96,2388.15,9049.05,1.3,47.45,521.53,2388.12,8124.49,8.4493,0.03,392,2388,100.0,38.83,23.3945
1,99,-0.0031,0.0004,100.0,518.67,642.58,1585.13,1404.0,14.62,21.61,553.04,2388.12,9042.14,1.3,47.45,521.41,2388.12,8120.16,8.4181,0.03,393,2388,100.0,38.88,23.3121
1,100,-0.0011,-0.0002,100.0,518.67,642.68,1585.54,1410.79,14.62,21.61,553.65,2388.14,9044.6,1.3,47.47,521.44,2388.12,8118.67,8.4591,0.03,394,2388,100.0,38.91,23.2423
1,101,-0.0003,0.0,100.0,518.67,642.91,1587.19,1407.63,14.62,21.61,553.38,2388.09,9042.2,1.3,47.67,521.45,2388.11,8123.49,8.4465,0.03,393,2388,100.0,38.75,23.2214
1,102,0.0008,0.0002,100.0,518.67,642.54,1580.86,1406.92,14.62,21.61,553.03,2388.13,9047.05,1.3,47.48,521.23,2388.12,8115.66,8.451,0.03,394,2388,100.0,38.6,23.1997
1,103,-0.0043,-0.0003,100.0,518.67,642.77,1590.78,1409.14,14.62,21.61,553.51,2388.11,9046.2,1.3,47.63,521.67,2388.1,8123.74,8.4498,0.03,393,2388,100.0,38.71,23.3246
1,104,0.0041,-0.0004,100.0,518.67,642.84,1589.27,1408.77,14.62,21.61,553.08,2388.1,9042.15,1.3,47.59,521.24,2388.16,8124.52,8.4313,0.03,395,2388,100.0,38.83,23.2223
1,105,-0.0024,0.0001,100.0,518.67,642.57,1589.61,1410.29,14.62,21.61,553.45,2388.12,9044.92,1.3,47.57,520.96,2388.1,8124.6,8.4446,0.03,393,2388,100.0,38.79,23.3646
1,106,-0.0008,0.0004,100.0,518.67,642.68,1589.44,1398.53,14.62,21.61,553.43,2388.16,9038.53,1.3,47.68,520.78,2388.14,8129.33,8.4542,0.03,393,2388,100.0,38.91,23.3219
1,107,0.0018,0.0002,100.0,518.67,642.79,1595.14,1409.11,14.62,21.61,553.45,2388.2,9041.1,1.3,47.58,520.96,2388.17,8122.24,8.4824,0.03,394,2388,100.0,38.8,23.224
1,108,0.0001,-0.0002,100.0,518.67,642.27,1595.49,1408.78,14.62,21.61,553.52,2388.17,9041.71,1.3,47.59,521.32,2388.09,8121.12,8.4542,0.03,393,2388,100.0,38.72,23.2454
1,109,0.0003,0.0,100.0,518.67,642.94,1598.03,1406.31,14.62,21.61,553.3,2388.15,9039.6,1.3,47.64,520.69,2388.1,8124.56,8.4564,0.03,394,2388,100.0,38.75,23.3621
1,110,0.0009,0.0003,100.0,518.67,642.66,1591.0,1412.12,14.62,21.61,553.23,2388.15,9045.28,1.3,47.55,521.02,2388.15,8126.04,8.455,0.03,393,2388,100.0,38.87,23.3564
1,111,-0.0003,-0.0004,100.0,518.67,642.22,1588.0,1407.91,14.62,21.61,553.36,2388.17,9041.47,1.3,47.69,521.68,2388.19,8118.18,8.4275,0.03,394,2388,100.0,38.81,23.3104
1,112,-0.0002,-0.0003,100.0,518.67,643.15,1592.94,1412.09,14.62,21.61,553.8,2388.14,9044.54,1.3,47.6,521.04,2388.12,8123.34,8.4202,0.03,392,2388,100.0,38.82,23.3506
1,113,-0.001,-0.0002,100.0,518.67,642.73,1585.52,1407.05,14.62,21.61,553.02,2388.15,9040.21,1.3,47.59,521.39,2388.1,8122.29,8.4554,0.03,394,2388,100.0,38.75,23.3692
1,114,0.002,0.0003,100.0,518.67,642.61,1596.7,1414.15,14.62,21.61,553.29,2388.2,9036.36,1.3,47.52,521.29,2388.15,8118.94,8.4276,0.03,393,2388,100.0,38.86,23.3935
1,115,-0.0033,-0.0004,100.0,518.67,643.24,1587.3,1410.92,14.62,21.61,553.3,2388.11,9042.48,1.3,47.7,521.13,2388.16,8121.83,8.4351,0.03,392,2388,100.0,38.79,23.3035
1,116,-0.0016,0.0,100.0,518.67,642.84,1587.52,1410.87,14.62,21.61,552.92,2388.15,9041.88,1.3,47.57,520.75,2388.16,8121.74,8.4508,0.03,392,2388,100.0,38.83,23.3169
1,117,0.0002,-0.0001,100.0,518.67,642.88,1589.35,1409.37,14.62,21.61,552.74,2388.11,9040.52,1.3,47.67,520.43,2388.16,8125.84,8.4495,0.03,393,2388,100.0,38.79,23.2803
1,118,-0.0004,-0.0001,100.0,518.67,642.09,1597.31,1411.51,14.62,21.61,552.96,2388.18,9044.4,1.3,47.55,520.85,2388.13,8126.59,8.4512,0.03,394,2388,100.0,38.97,23.2126
1,119,-0.0015,-0.0002,100.0,518.67,642.21,1589.62,1406.34,14.62,21.61,553.34,2388.12,9044.33,1.3,47.63,521.27,2388.16,8121.7,8.4186,0.03,395,2388,100.0,38.68,23.2589
1,120,0.0039,-0.0002,100.0,518.67,642.83,1589.32,1406.14,14.62,21.61,553.14,2388.17,9041.75,1.3,47.68,521.3,2388.14,8122.86,8.4485,0.03,393,2388,100.0,38.85,23.2833
1,121,-0.0025,0.0004,100.0,518.67,642.9,1590.17,1413.32,14.62,21.61,552.89,2388.08,9041.01,1.3,47.59,521.43,2388.17,8125.2,8.4145,0.03,394,2388,100.0,38.69,23.3496
1,122,-0.0029,0.0004,100.0,518.67,642.42,1590.73,1410.21,14.62,21.61,552.84,2388.13,9044.81,1.3,47.5,521.24,2388.21,8119.54,8.457,0.03,393,2388,100.0,38.8,23.2659
1,123,-0.0003,0.0004,100.0,518.67,642.65,1591.34,1410.69,14.62,21.61,552.6,2388.13,9041.64,1.3,47.56,521.08,2388.16,8124.22,8.4234,0.03,394,2388,100.0,38.78,23.3075
1,124,0.0036,0.0001,100.0,518.67,642.69,1597.94,1412.63,14.62,21.61,552.83,2388.14,9049.0,1.3,47.62,521.21,2388.19,8123.38,8.4958,0.03,393,2388,100.0,38.87,23.1503
1,125,-0.0032,-0.0001,100.0,518.67,642.67,1592.63,1408.05,14.62,21.61,552.39,2388.15,9042.77,1.3,47.51,521.32,2388.14,8120.51,8.4732,0.03,391,2388,100.0,38.62,23.2028
1,126,0.0001,0.0004,100.0,518.67,642.96,1585.68,1408.4,14.62,21.61,553.0,2388.14,9045.34,1.3,47.57,520.94,2388.13,8122.5,8.4675,0.03,393,2388,100.0,38.65,23.2026
1,127,-0.0008,0.0002,100.0,518.67,642.78,1593.3,1409.2,14.62,21.61,553.11,2388.2,9042.25,1.3,47.65,521.59,2388.08,8120.46,8.445,0.03,394,2388,100.0,38.92,23.3289
