ExportDate,EquipmentID,Cycle,Timestamp,Sensor_2,Sensor_3,Sensor_4,Sensor_7,Sensor_8,Sensor_9,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_17,LatentZ1,LatentZ2,NearestDistance,PredictedStatus,IsWarning,WorkOrder,MaintenanceCost
2026-07-01,ENG-003,38,2026-01-02 14:00:00,642.85,1596.84,1409.5,554.06,2388.09,9053.4,47.6,521.61,2388.13,8131.34,8.4477,392.0,0.042548,0.006261,0.001379,Healthy,0,WO120480,2308.5
2026-07-01,ENG-003,39,2026-01-02 15:00:00,642.63,1593.97,1406.25,553.19,2388.11,9052.78,47.55,520.79,2388.09,8129.68,8.4034,393.0,0.018856,0.077092,0.002768,Healthy,0,WO976325,2255.17
2026-07-01,ENG-003,40,2026-01-02 16:00:00,642.52,1588.58,1407.3,553.38,2388.16,9053.33,47.57,521.66,2388.18,8132.02,8.4341,393.0,0.018254,0.050505,0.000972,Healthy,0,WO609232,
2026-07-01,ENG-003,41,2026-01-02 17:00:00,642.94,1596.7,1406.09,553.78,2388.15,9048.09,47.49,521.34,2388.12,8137.15,8.4601,393.0,0.029734,0.058335,0.001259,Healthy,0,WO981334,426.5
2026-07-01,ENG-003,42,2026-01-02 18:00:00,642.74,1590.47,1415.23,552.79,2388.13,9051.32,47.36,521.37,2388.1,8134.08,8.4292,393.0,0.023635,0.114495,0.002856,Healthy,0,WO188025,450.31
2026-07-01,ENG-004,1,2026-01-01 01:00:00,642.63,1589.43,1399.93,553.1,2388.05,9048.52,47.44,521.78,2388.15,8131.61,8.4195,393.0,0.038176,-0.289221,0.00081,Healthy,0,WO453894,1168.42
2026-07-01,ENG-004,2,2026-01-01 02:00:00,642.36,1591.83,1406.26,553.61,2388.11,9047.34,47.4,521.7,2388.1,8132.51,8.4099,392.0,0.033661,-0.346388,0.001901,Healthy,0,WO665621,
2026-07-01,ENG-004,3,2026-01-01 03:00:00,642.58,1590.84,1409.67,554.28,2388.08,9051.81,47.41,521.89,2388.07,8137.19,8.4253,391.0,0.034683,-0.351688,0.00255,Healthy,0,WO142213,2851.35
2026-07-01,ENG-004,4,2026-01-01 04:00:00,642.59,1589.02,1402.18,553.57,2388.11,9049.72,47.56,521.2,2388.08,8128.1,8.4205,392.0,0.037487,-0.22781,0.002146,Healthy,0,WO219946,693.0
2026-07-01,ENG-004,5,2026-01-01 05:00:00,642.29,1584.92,1410.31,553.42,2388.07,9052.16,47.35,521.42,2388.11,8135.37,8.4306,391.0,0.035415,-0.334497,0.00164,Healthy,0,WO220096,533.11
2026-07-01,ENG-004,6,2026-01-01 06:00:00,642.29,1588.37,1410.51,552.76,2388.04,9052.35,47.32,521.43,2388.11,8128.33,8.4415,393.0,0.040366,-0.275263,0.001014,Healthy,0,WO493537,2159.29
2026-07-01,ENG-004,7,2026-01-01 07:00:00,642.1,1586.93,1411.36,553.78,2388.09,9052.59,47.33,521.7,2388.09,8134.09,8.4173,393.0,0.0277,-0.347608,0.000863,Healthy,0,WO416232,1821.21
2026-07-01,ENG-004,8,2026-01-01 08:00:00,642.65,1586.81,1410.31,553.9,2388.1,9048.97,47.59,521.75,2388.09,8136.4,8.4265,392.0,0.054443,-0.158836,0.001186,Healthy,0,WO488571,
2026-07-01,ENG-004,9,2026-01-01 09:00:00,643.05,1585.09,1408.07,553.71,2388.06,9056.65,47.31,521.54,2388.09,8134.33,8.4267,392.0,0.034058,-0.214715,0.002597,Healthy,0,WO210665,1118.45
2026-07-01,ENG-004,10,2026-01-01 10:00:00,642.55,1586.65,1411.38,554.13,2388.1,9052.12,47.44,522.37,2388.09,8135.74,8.4311,394.0,0.043436,-0.316724,0.001329,Healthy,0,WO782054,2434.19
2026-07-01,ENG-004,11,2026-01-01 11:00:00,641.96,1585.37,1406.97,553.07,2388.08,9057.89,47.42,521.55,2388.12,8128.5,8.4367,393.0,0.042241,-0.255552,0.001887,Healthy,0,WO437960,2500.66
2026-07-01,ENG-004,12,2026-01-01 12:00:00,642.09,1594.56,1409.7,554.18,2388.08,9051.16,47.41,521.65,2388.13,8131.14,8.4731,392.0,0.049823,-0.151257,0.001039,Healthy,0,WO497399,1508.2
2026-07-01,ENG-004,13,2026-01-01 13:00:00,642.29,1588.32,1409.92,553.54,2388.09,9050.63,47.2,521.66,2388.11,8134.18,8.4663,392.0,0.04714,-0.081317,0.002482,Healthy,0,WO725113,864.99
2026-07-01,ENG-004,14,2026-01-01 14:00:00,642.22,1587.11,1400.63,553.81,2388.08,9052.24,47.54,521.43,2388.11,8130.31,8.4328,392.0,0.026368,-0.302705,0.003085,Healthy,0,WO894993,1454.47
2026-07-01,ENG-004,15,2026-01-01 15:00:00,641.84,1590.22,1404.72,553.61,2388.08,9060.56,47.7,521.75,2388.12,8134.68,8.4208,393.0,0.059685,-0.180173,0.000823,Healthy,0,WO825391,2008.68
2026-07-01,ENG-004,16,2026-01-01 16:00:00,642.21,1587.79,1414.51,553.92,2388.14,9053.25,47.36,521.48,2388.14,8136.03,8.4347,392.0,0.029142,-0.065347,0.001096,Healthy,0,WO446859,1388.55
2026-07-01,ENG-004,17,2026-01-01 17:00:00,642.87,1593.3,1402.81,553.48,2388.09,9049.24,47.66,521.63,2388.12,8131.01,8.4409,391.0,0.047378,0.025484,0.003085,Healthy,0,WO661894,2085.98
2026-07-01,ENG-004,18,2026-01-01 18:00:00,642.28,1581.83,1400.02,553.45,2388.04,9058.87,47.41,521.84,2388.08,8131.3,8.3925,392.0,0.017371,-0.695741,0.00128,Healthy,0,WO650121,2942.51
2026-07-01,ENG-004,19,2026-01-01 19:00:00,642.52,1589.28,1411.29,553.19,2388.05,9053.66,47.54,521.66,2388.11,8134.19,8.4298,393.0,0.066491,-0.090451,0.000381,Healthy,0,WO660081,184.27
2026-07-01,ENG-004,20,2026-01-01 20:00:00,642.36,1589.97,1406.34,553.61,2388.12,9045.12,47.49,521.88,2388.12,8130.07,8.4511,392.0,0.042987,-0.165873,0.002935,Healthy,0,WO614723,86.18
2026-07-01,ENG-004,21,2026-01-01 21:00:00,642.3,1587.33,1404.82,553.47,2388.07,9048.9,47.59,521.69,2388.09,8135.09,8.4272,393.0,0.042664,-0.381529,0.001444,Healthy,0,WO600935,242.76
2026-07-01,ENG-004,22,2026-01-01 22:00:00,642.44,1588.4,1403.71,554.1,2388.07,9051.51,47.52,521.61,2388.06,8127.23,8.4074,393.0,0.028321,-0.425792,0.00145,Healthy,0,WO690180,301.28
2026-07-01,ENG-004,23,2026-01-01 23:00:00,642.75,1595.32,1411.22,553.25,2388.06,9048.96,47.47,521.04,2388.1,8133.89,8.4035,393.0,0.03974,0.003065,0.001399,Healthy,0,WO336650,1172.12
2026-07-01,ENG-004,24,2026-01-02 00:00:00,642.31,1586.23,1398.85,553.43,2388.08,9054.46,47.49,521.82,2388.14,8126.9,8.4731,392.0,0.03919,-0.265912,0.001735,Healthy,0,WO751194,
2026-07-01,ENG-004,25,2026-01-02 01:00:00,641.77,1596.06,1396.85,553.89,2388.09,9047.64,47.42,521.94,2388.1,8125.7,8.4512,392.0,0.032339,-0.384933,0.000752,Healthy,0,WO377501,513.32
2026-07-01,ENG-004,26,2026-01-02 02:00:00,642.92,1589.57,1405.38,553.98,2388.1,9054.63,47.52,521.2,2388.15,8133.7,8.4061,392.0,0.029929,-0.290276,0.001843,Healthy,0,WO592738,732.85
2026-07-01,ENG-004,27,2026-01-02 03:00:00,642.6,1587.17,1394.09,553.69,2388.08,9062.95,47.48,521.97,2388.09,8133.2,8.4005,393.0,0.032413,-0.594258,0.000518,Healthy,0,WO377405,1893.92
2026-07-01,ENG-004,28,2026-01-02 04:00:00,642.23,1585.41,1405.1,553.98,2388.08,9050.4,47.42,521.78,2388.12,8132.72,8.4232,394.0,0.032148,-0.28192,0.002813,Healthy,0,WO378535,260.66
2026-07-01,ENG-004,29,2026-01-02 05:00:00,643.18,1588.03,1401.49,553.1,2388.1,9052.6,47.53,521.93,2388.07,8131.01,8.4533,393.0,0.068019,-0.091105,0.000347,Healthy,0,WO560485,2081.6
2026-07-01,ENG-004,30,2026-01-02 06:00:00,642.79,1596.08,1403.26,553.74,2388.11,9054.69,47.55,521.5,2388.08,8133.48,8.4288,392.0,0.057984,-0.112659,0.00267,Healthy,0,WO141797,2216.88
2026-07-01,ENG-004,31,2026-01-02 07:00:00,642.12,1583.81,1406.76,553.16,2388.08,9053.38,47.42,522.04,2388.1,8130.71,8.4373,392.0,0.043825,-0.400563,0.001196,Healthy,0,WO703139,111.2
2026-07-01,ENG-004,32,2026-01-02 08:00:00,642.31,1590.49,1404.87,553.07,2388.11,9060.16,47.55,521.27,2388.09,8136.21,8.4347,393.0,0.051279,0.087413,0.001347,Healthy,0,WO644173,2752.41
2026-07-01,ENG-004,33,2026-01-02 09:00:00,642.99,1589.11,1408.71,554.25,2388.02,9049.72,47.45,521.34,2388.07,8130.55,8.4324,391.0,0.034186,-0.281712,0.004062,Healthy,0,WO592841,1033.26
2026-07-01,ENG-004,34,2026-01-02 10:00:00,642.67,1590.25,1407.98,554.39,2388.11,9053.57,47.44,521.42,2388.1,8131.68,8.4497,392.0,0.041975,-0.131679,0.001117,Healthy,0,WO519904,1672.78
2026-07-01,ENG-004,35,2026-01-02 11:00:00,642.74,1586.87,1406.68,553.31,2388.08,9054.06,47.55,521.79,2388.11,8134.54,8.4424,393.0,0.061633,-0.11338,0.002087,Healthy,0,WO639593,53.4
2026-07-01,ENG-004,36,2026-01-02 12:00:00,642.39,1575.35,1408.04,553.7,2388.05,9050.39,47.34,521.42,2388.09,8133.06,8.4154,394.0,0.010694,-0.498547,0.000791,Healthy,0,WO893188,1354.02
2026-07-01,ENG-005,1,2026-01-01 01:00:00,642.43,1590.79,1402.02,553.5,2388.07,9051.54,47.37,522.2,2388.07,8130.9,8.4426,394.0,0.038413,-0.496407,0.000854,Warning,1,WO832168,1498.64
2026-07-01,ENG-005,2,2026-01-01 02:00:00,642.85,1581.46,1409.7,553.44,2388.06,9051.9,47.54,521.63,2388.11,8128.71,8.4429,393.0,0.045766,-0.121575,0.00032,Healthy,0,WO527809,2977.16
2026-07-01,ENG-005,3,2026-01-01 03:00:00,642.88,1586.05,1407.64,553.51,2388.06,9057.29,47.27,521.8,2388.11,8132.02,8.4657,393.0,0.04241,-0.298753,0.001315,Healthy,0,WO851413,2130.96
2026-07-01,ENG-005,4,2026-01-01 04:00:00,642.79,1585.93,1403.47,553.93,2388.15,9048.64,47.43,521.8,2388.09,8130.1,8.4147,392.0,0.018538,-0.436761,0.001112,Healthy,0,WO502219,1818.16
2026-07-01,ENG-005,5,2026-01-01 05:00:00,642.66,1583.4,1407.29,553.83,2388.12,9053.72,47.48,521.94,2388.01,8132.74,8.4201,392.0,0.034295,-0.505092,0.000712,Healthy,0,WO535098,2373.77
2026-07-01,ENG-005,6,2026-01-01 06:00:00,642.72,1581.43,1410.88,552.84,2388.05,9048.96,47.49,521.33,2388.07,8130.32,8.4301,392.0,0.047704,-0.145962,0.001617,Healthy,0,WO791998,488.36
2026-07-01,ENG-005,7,2026-01-01 07:00:00,642.44,1592.72,1406.89,553.39,2388.1,9048.84,47.5,521.3,2388.17,8133.31,8.4494,393.0,0.036573,-0.018947,0.001547,Healthy,0,WO437408,2943.29
2026-07-01,ENG-005,8,2026-01-01 08:00:00,643.14,1590.58,1403.19,553.86,2388.09,9058.21,47.48,521.46,2388.11,8131.46,8.4504,393.0,0.051038,0.00164,0.001439,Warning,1,WO880879,22905.01
2026-07-01,ENG-005,9,2026-01-01 09:00:00,642.5,1586.98,1409.36,553.83,2388.12,9053.72,47.41,521.29,2388.09,8139.72,8.4558,394.0,0.043262,-0.052039,0.001968,Healthy,0,WO138817,2897.79
2026-07-01,ENG-005,10,2026-01-01 10:00:00,643.17,1595.37,1409.32,553.16,2388.11,9057.49,47.61,521.31,2388.11,8138.55,8.4885,392.0,0.047546,0.263594,0.000457,Warning,1,WO579123,
2026-07-01,ENG-005,11,2026-01-01 11:00:00,643.23,1583.73,1410.89,553.24,2388.08,9046.78,47.64,521.53,2388.1,8127.61,8.3709,393.0,0.03629,-0.130551,0.001581,Healthy,0,WO592296,831.82
2026-07-01,ENG-005,12,2026-01-01 12:00:00,642.25,1592.65,1407.6,553.16,2388.06,9052.91,47.27,521.61,2388.07,8130.29,8.424,393.0,0.030249,-0.468217,0.00088,Healthy,0,WO659543,984.15
